index,age_upon_outcome,animal_id,animal_type,name,breed,color1,color2,date_of_birth,outcome_subtype,outcome_type,outcome_month,outcome_year
243,2 months,A682044,Cat,*Lizzy,domestic shorthair,Breed Specific,,2014-05-19 00:00:00,,Adoption,7,2014
244,2 years,A667357,Cat,Kit Tay,domestic shorthair,brown ,white,2011-11-16 00:00:00,SCRP,Transfer,11,2013
245,3 weeks,A679451,Cat,,domestic shorthair,blue,,2014-04-29 00:00:00,Partner,Transfer,5,2014
246,1 year,A681101,Cat,Spaghetti,domestic shorthair,brown,,2013-06-12 00:00:00,Partner,Transfer,6,2014
247,1 month,A688553,Cat,Abby,domestic mediumhair,brown ,white,2014-08-20 00:00:00,Foster,Adoption,10,2014
248,3 months,A683200,Cat,Brody,domestic shorthair,orange ,white,2014-05-24 00:00:00,,Adoption,8,2014
249,3 weeks,A678051,Cat,,domestic shorthair,brown,,2014-04-11 00:00:00,Partner,Transfer,5,2014
250,2 months,A676804,Cat,,domestic shorthair,black,white,2014-03-20 00:00:00,Foster,Adoption,5,2014
251,2 months,A691496,Cat,*Juliet,domestic shorthair,Breed Specific,,2014-09-20 00:00:00,Foster,Adoption,12,2014
252,1 year,A665893,Cat,Joey,domestic shorthair,orange,,2013-05-09 00:00:00,,Return to Owner,9,2014
253,15 years,A691626,Cat,Raja,domestic shorthair,brown ,white,1999-11-07 00:00:00,Suffering,Euthanasia,11,2014
254,4 months,A672194,Cat,*Chestnut,domestic shorthair,brown,,2014-01-29 00:00:00,Foster,Adoption,6,2014
255,1 year,A690804,Cat,,domestic shorthair,orange,,2013-10-26 00:00:00,SCRP,Transfer,10,2014
256,1 year,A671534,Cat,Stella,snowshoe,seal ,white,2013-01-26 00:00:00,,Adoption,3,2014
257,9 years,A667951,Cat,Duncan,domestic shorthair,black,white,2004-11-25 00:00:00,,Adoption,1,2014
258,10 months,A676084,Cat,Ginger,domestic shorthair,brown,,2013-06-04 00:00:00,,Adoption,4,2014
259,3 months,A665425,Cat,Collins,domestic shorthair,black,,2013-08-26 00:00:00,,Adoption,11,2013
260,1 year,A685559,Cat,,domestic shorthair,brown,,2013-08-09 00:00:00,SCRP,Transfer,8,2014
261,2 months,A678202,Cat,*Dolce,domestic shorthair,brown,,2014-04-05 00:00:00,Foster,Adoption,6,2014
262,4 months,A688967,Cat,,domestic shorthair,brown ,white,2014-05-27 00:00:00,SCRP,Transfer,9,2014
263,2 months,A679723,Cat,,domestic shorthair,brown ,white,2014-03-25 00:00:00,Partner,Transfer,6,2014
264,2 years,A671938,Cat,Chloe,domestic shorthair,Breed Specific,,2012-02-01 00:00:00,,Adoption,2,2014
265,2 weeks,A678385,Cat,,domestic mediumhair,Breed Specific,,2014-04-20 00:00:00,Partner,Transfer,5,2014
266,2 months,A687458,Cat,*Baby Blue,domestic shorthair,blue,,2014-08-05 00:00:00,Foster,Adoption,10,2014
267,3 months,A693770,Cat,*Ellie,domestic shorthair,black,,2014-09-11 00:00:00,,Adoption,12,2014
268,2 years,A678867,Cat,*Bonnie,domestic shorthair,black,,2012-05-13 00:00:00,Partner,Transfer,7,2014
269,1 year,A685652,Cat,,domestic shorthair,blue,white,2013-08-10 00:00:00,SCRP,Transfer,8,2014
270,2 months,A685062,Cat,,domestic shorthair,orange ,white,2014-06-04 00:00:00,,Adoption,8,2014
271,2 months,A690811,Cat,,domestic shorthair,brown,,2014-08-26 00:00:00,Partner,Transfer,10,2014
272,8 months,A676948,Cat,,domestic shorthair,Breed Specific,,2013-08-17 00:00:00,SCRP,Transfer,4,2014
273,2 months,A665896,Cat,*Willow,domestic shorthair,orange,,2013-09-30 00:00:00,Foster,Adoption,12,2013
274,1 year,A665256,Cat,Jerry,domestic shorthair,orange ,white,2012-10-15 00:00:00,Suffering,Euthanasia,10,2013
275,2 months,A683328,Cat,Solo,domestic longhair,blue,white,2014-04-24 00:00:00,,Adoption,7,2014
276,4 months,A668560,Cat,Powder,domestic shorthair,white,,2013-08-05 00:00:00,,Adoption,12,2013
277,14 years,A690327,Cat,Rusty,domestic shorthair,orange,,2000-10-18 00:00:00,Partner,Transfer,10,2014
278,1 year,A682828,Cat,,domestic shorthair,brown ,white,2013-07-03 00:00:00,SCRP,Transfer,7,2014
279,9 years,A683418,Cat,Cindy,domestic shorthair,blue,white,2005-07-10 00:00:00,Partner,Transfer,7,2014
280,2 months,A664265,Cat,*Dixon,domestic shorthair,brown,,2013-07-17 00:00:00,,Adoption,10,2013
281,2 days,A687690,Cat,,domestic shorthair,black,,2014-09-06 00:00:00,Partner,Transfer,9,2014
282,2 months,A666536,Cat,,domestic shorthair,black,,2013-09-03 00:00:00,Suffering,Euthanasia,11,2013
283,4 weeks,A683875,Cat,,domestic shorthair,blue,,2014-06-16 00:00:00,Partner,Transfer,7,2014
284,3 months,A667606,Cat,*Treasure,domestic shorthair,Breed Specific,,2013-10-10 00:00:00,Offsite,Adoption,1,2014
285,2 years,A670007,Cat,,domestic shorthair,Breed Specific,,2011-12-31 00:00:00,SCRP,Transfer,1,2014
286,3 weeks,A686996,Cat,,domestic shorthair,orange,white,2014-08-08 00:00:00,Partner,Transfer,8,2014
287,6 months,A677306,Cat,,domestic shorthair,brown,,2014-03-01 00:00:00,Foster,Adoption,9,2014
288,2 months,A691704,Cat,*Zander,domestic shorthair,brown ,white,2014-09-01 00:00:00,Partner,Transfer,11,2014
289,2 years,A668743,Cat,*Suzanne,domestic shorthair,black,,2011-12-08 00:00:00,,Adoption,12,2013
290,2 months,A679315,Cat,,domestic shorthair,Breed Specific,,2014-04-07 00:00:00,,Adoption,6,2014
291,1 month,A685106,Cat,*Larkspur,domestic shorthair,brown,,2014-07-06 00:00:00,,Adoption,9,2014
292,3 years,A671528,Cat,,domestic shorthair,white,,2011-01-26 00:00:00,SCRP,Transfer,1,2014
293,1 month,A684965,Cat,*Ryan,domestic shorthair,Breed Specific,,2014-07-01 00:00:00,Partner,Transfer,8,2014
294,3 weeks,A665611,Cat,,domestic shorthair,brown,,2013-09-28 00:00:00,Partner,Transfer,10,2013
295,1 year,A679487,Cat,,domestic shorthair,black,white,2013-05-21 00:00:00,SCRP,Transfer,5,2014
296,3 weeks,A665609,Cat,,domestic shorthair,brown,,2013-09-28 00:00:00,Partner,Transfer,10,2013
297,1 year,A648775,Cat,Daisy,domestic shorthair,Breed Specific,,2013-01-20 00:00:00,Partner,Transfer,11,2014
298,1 year,A685358,Cat,,domestic shorthair,blue ,white,2013-08-06 00:00:00,SCRP,Transfer,8,2014
299,2 months,A687137,Cat,*Nigel,domestic shorthair,blue,,2014-08-06 00:00:00,,Adoption,10,2014
300,1 year,A677278,Cat,*Biskit,domestic shorthair,brown ,white,2013-04-22 00:00:00,Partner,Transfer,5,2014
301,3 months,A666109,Cat,*Tom,domestic shorthair,orange ,white,2013-07-29 00:00:00,,Adoption,10,2013
302,4 years,A685417,Cat,Willie,domestic shorthair,black,white,2010-08-07 00:00:00,,Return to Owner,8,2014
303,3 weeks,A676705,Cat,,domestic mediumhair,blue,,2014-04-08 00:00:00,Partner,Transfer,4,2014
304,5 months,A668705,Cat,Moe,domestic shorthair,flame,,2013-07-07 00:00:00,,Adoption,12,2013
305,2 months,A681986,Cat,Boomer,domestic shorthair,blue,white,2014-04-22 00:00:00,Partner,Transfer,6,2014
306,8 months,A692355,Cat,,domestic shorthair,Breed Specific,,2014-03-18 00:00:00,SCRP,Transfer,11,2014
307,13 years,A679797,Cat,Genevieve,domestic shorthair,orange,,2001-05-26 00:00:00,Partner,Transfer,6,2014
308,7 months,A690075,Cat,,siamese,lilac,,2014-02-13 00:00:00,SCRP,Transfer,10,2014
309,2 months,A685145,Cat,*Mundy,domestic mediumhair,blue,white,2014-07-07 00:00:00,Foster,Adoption,9,2014
310,5 months,A682065,Cat,Baby,domestic shorthair,black,,2013-12-23 00:00:00,Suffering,Euthanasia,6,2014
311,1 week,A676400,Cat,,domestic shorthair,Breed Specific,,2014-04-02 00:00:00,Partner,Transfer,4,2014
312,4 months,A686224,Cat,,domestic shorthair,orange ,white,2014-04-18 00:00:00,Partner,Transfer,8,2014
313,1 week,A687766,Cat,,domestic shorthair,Breed Specific,,2014-09-02 00:00:00,Partner,Transfer,9,2014
314,2 months,A678376,Cat,,domestic shorthair,blue,,2014-03-08 00:00:00,Enroute,Died,5,2014
315,4 years,A689989,Cat,Solo,manx,cream,,2010-10-12 00:00:00,,Return to Owner,10,2014
316,4 weeks,A677364,Cat,*Arwen,siamese,lynx,,2014-03-24 00:00:00,Partner,Transfer,4,2014
317,2 months,A674736,Cat,*Barbara,domestic shorthair,orange,,2014-03-15 00:00:00,Foster,Adoption,5,2014
318,1 month,A683139,Cat,*Bobby,domestic shorthair,orange,,2014-05-19 00:00:00,Partner,Transfer,7,2014
319,2 weeks,A682974,Cat,,domestic shorthair,black,,2014-06-20 00:00:00,Partner,Transfer,7,2014
320,3 months,A685096,Cat,,domestic shorthair,orange,,2014-04-17 00:00:00,SCRP,Transfer,8,2014
321,2 months,A689765,Cat,*Heath,domestic shorthair,brown ,white,2014-07-22 00:00:00,,Adoption,10,2014
322,2 months,A682286,Cat,*Seven,domestic shorthair,Breed Specific,,2014-04-26 00:00:00,,Adoption,7,2014
323,1 month,A683526,Cat,,domestic mediumhair,blue ,white,2014-06-06 00:00:00,Partner,Transfer,7,2014
324,1 year,A686812,Cat,Sy,siamese,seal,,2013-03-27 00:00:00,,Adoption,8,2014
325,1 day,A664641,Cat,,domestic shorthair,Breed Specific,,2013-10-05 00:00:00,Partner,Transfer,10,2013
326,8 months,A691439,Cat,,domestic shorthair,blue,,2014-03-04 00:00:00,SCRP,Transfer,11,2014
327,1 year,A690004,Cat,,domestic shorthair,black,,2013-10-12 00:00:00,SCRP,Transfer,10,2014
328,9 years,A672404,Cat,*Goldie,domestic shorthair,Breed Specific,,2005-02-09 00:00:00,Partner,Transfer,2,2014
329,3 months,A686312,Cat,,domestic shorthair,black,,2014-05-19 00:00:00,Suffering,Euthanasia,8,2014
330,2 years,A680478,Cat,Binx,domestic longhair,blue,white,2011-12-03 00:00:00,Partner,Transfer,9,2014
331,5 years,A676657,Cat,Kylie,domestic shorthair,Breed Specific,,2009-04-13 00:00:00,Partner,Transfer,4,2014
332,2 years,A674895,Cat,Jazzper,domestic shorthair,brown ,white,2012-03-19 00:00:00,,Return to Owner,3,2014
333,2 weeks,A688029,Cat,,domestic shorthair,orange,,2014-08-29 00:00:00,Partner,Transfer,9,2014
334,1 month,A690927,Cat,,domestic shorthair,black,,2014-08-28 00:00:00,Suffering,Euthanasia,10,2014
335,4 years,A691788,Cat,George,siamese,seal,,2010-11-09 00:00:00,Partner,Transfer,11,2014
336,2 years,A682485,Cat,,domestic shorthair,blue,,2012-06-28 00:00:00,SCRP,Transfer,6,2014
337,2 weeks,A674521,Cat,,domestic shorthair,black,,2014-02-27 00:00:00,Partner,Transfer,3,2014
338,2 weeks,A677685,Cat,,domestic mediumhair,Breed Specific,,2014-04-08 00:00:00,Partner,Transfer,4,2014
339,1 year,A683233,Cat,*Lucas,domestic shorthair,brown ,white,2013-07-08 00:00:00,Partner,Transfer,8,2014
340,2 months,A690904,Cat,,domestic shorthair,blue,,2014-08-27 00:00:00,,Adoption,10,2014
341,10 years,A662170,Cat,Felix,domestic shorthair,brown,,2004-01-01 00:00:00,,Adoption,1,2014
342,2 months,A662761,Cat,Petunia,domestic shorthair,brown ,white,2013-08-17 00:00:00,,Adoption,10,2013
343,1 week,A687528,Cat,,domestic shorthair,orange,,2014-08-30 00:00:00,Partner,Transfer,9,2014
344,1 month,A691437,Cat,*Philippe,domestic shorthair,brown ,white,2014-10-05 00:00:00,Suffering,Euthanasia,11,2014
345,5 months,A685647,Cat,Garbage,domestic shorthair,brown,,2014-04-10 00:00:00,,Adoption,9,2014
346,1 year,A687936,Cat,Isis,domestic shorthair,Breed Specific,,2013-09-12 00:00:00,Partner,Transfer,9,2014
347,3 months,A682304,Cat,,domestic shorthair,black,,2014-03-26 00:00:00,,Adoption,6,2014
348,4 months,A686093,Cat,Mouse,domestic shorthair,brown ,white,2014-04-07 00:00:00,Partner,Transfer,8,2014
349,2 months,A669478,Cat,Ginger Peace,domestic shorthair,orange,,2013-10-30 00:00:00,Foster,Adoption,1,2014
350,5 days,A687684,Cat,,domestic shorthair,white,blue,2014-09-03 00:00:00,Partner,Transfer,9,2014
351,1 month,A680397,Cat,*Walt,domestic shorthair,blue,,2014-05-04 00:00:00,Partner,Transfer,6,2014
352,7 years,A664494,Cat,*Flower,domestic longhair,Breed Specific,,2006-10-04 00:00:00,,Adoption,10,2013
353,2 years,A665549,Cat,Bella,domestic shorthair,white,brown,2011-10-19 00:00:00,,Adoption,11,2013
354,6 years,A495792,Cat,Macintosh,domestic shorthair,white,brown,2007-10-13 00:00:00,,Adoption,8,2014
355,2 months,A666661,Cat,*Darwin,domestic shorthair,white,black,2013-09-13 00:00:00,Foster,Adoption,12,2013
356,2 months,A669137,Cat,*Minnie,domestic shorthair,Breed Specific,,2013-10-24 00:00:00,,Adoption,12,2013
357,2 months,A689901,Cat,*Leroy,domestic shorthair,black,white,2014-08-27 00:00:00,,Adoption,11,2014
358,2 weeks,A684384,Cat,,domestic shorthair,brown,,2014-07-08 00:00:00,Partner,Transfer,7,2014
359,3 months,A683578,Cat,,domestic shorthair,cream,,2014-04-12 00:00:00,,Adoption,7,2014
360,3 weeks,A690566,Cat,,domestic shorthair,orange ,white,2014-09-30 00:00:00,Partner,Transfer,10,2014
361,1 weeks,A686525,Cat,,domestic shorthair,brown,,2014-08-14 00:00:00,Partner,Transfer,8,2014
362,2 weeks,A687663,Cat,,domestic shorthair,orange,,2014-08-24 00:00:00,Partner,Transfer,9,2014
363,3 weeks,A683040,Cat,,domestic shorthair,brown,,2014-06-14 00:00:00,Partner,Transfer,7,2014
364,1 year,A673569,Cat,,domestic shorthair,black,,2013-02-26 00:00:00,SCRP,Transfer,2,2014
365,4 years,A682446,Cat,Crybaby,domestic shorthair,brown,,2010-06-27 00:00:00,,Adoption,7,2014
366,2 months,A681476,Cat,Skittles,domestic shorthair,white,orange,2014-04-22 00:00:00,,Adoption,7,2014
367,3 months,A677836,Cat,,domestic shorthair,black,white,2014-03-29 00:00:00,Foster,Adoption,7,2014
368,3 weeks,A693716,Cat,,domestic shorthair,cream,,2014-11-21 00:00:00,Partner,Transfer,12,2014
369,1 year,A635769,Cat,,domestic shorthair,brown ,white,2012-05-12 00:00:00,,Return to Owner,10,2013
370,2 years,A682764,Cat,Tica,domestic shorthair,blue,,2012-07-02 00:00:00,,Return to Owner,7,2014
371,3 weeks,A686932,Cat,,domestic shorthair,black,white,2014-08-07 00:00:00,Partner,Transfer,8,2014
372,2 months,A668562,Cat,Prof Butters,domestic shorthair,orange,,2013-10-05 00:00:00,,Adoption,12,2013
373,2 months,A664658,Cat,*Trey,domestic shorthair,brown ,white,2013-08-16 00:00:00,,Adoption,11,2013
374,1 weeks,A678103,Cat,,domestic shorthair,buff,,2014-04-25 00:00:00,Partner,Transfer,5,2014
375,1 year,A669591,Cat,,domestic shorthair,black,white,2012-12-23 00:00:00,SCRP,Transfer,12,2013
376,3 years,A670044,Cat,,domestic shorthair,blue,,2011-01-01 00:00:00,Suffering,Euthanasia,1,2014
377,3 months,A683766,Cat,Scout,domestic shorthair,brown,,2014-04-15 00:00:00,,Adoption,8,2014
378,4 weeks,A666071,Cat,*June,domestic shorthair,brown,,2013-09-26 00:00:00,Partner,Transfer,10,2013
379,8 months,A671437,Cat,,domestic shorthair,brown,,2013-05-24 00:00:00,SCRP,Transfer,1,2014
380,3 months,A664071,Cat,,domestic shorthair,white,black,2013-07-06 00:00:00,Partner,Transfer,10,2013
381,2 months,A682681,Cat,,domestic shorthair,black,white,2014-04-24 00:00:00,Partner,Transfer,7,2014
382,3 years,A691445,Cat,Ash,domestic shorthair,black,,2011-11-04 00:00:00,Partner,Transfer,11,2014
383,3 months,A689447,Cat,*Izzy,domestic shorthair,black,white,2014-09-07 00:00:00,In Foster,Died,12,2014
384,1 year,A686724,Cat,*Pudding,domestic shorthair,blue,,2013-08-25 00:00:00,,Adoption,9,2014
385,2 months,A669363,Cat,Stephanie,domestic longhair,white,black,2013-10-12 00:00:00,,Adoption,1,2014
386,1 month,A682868,Cat,,domestic shorthair,orange ,white,2014-05-28 00:00:00,Partner,Transfer,7,2014
387,4 months,A680091,Cat,*Chloe,domestic shorthair,Breed Specific,,2014-01-29 00:00:00,,Adoption,6,2014
388,2 months,A662820,Cat,*Indigo,domestic shorthair,black,,2013-07-18 00:00:00,,Adoption,10,2013
389,1 month,A664211,Cat,*Arnold,domestic mediumhair,blue,,2013-08-30 00:00:00,Partner,Transfer,10,2013
390,1 month,A692267,Cat,*Bastet,domestic shorthair,black,,2014-10-17 00:00:00,In Foster,Died,11,2014
391,6 years,A672295,Cat,,domestic longhair,brown,,2008-02-07 00:00:00,SCRP,Transfer,2,2014
392,1 week,A685368,Cat,,domestic shorthair,Breed Specific,,2014-07-30 00:00:00,Partner,Transfer,8,2014
393,2 years,A680257,Cat,,domestic shorthair,blue ,black,2012-05-31 00:00:00,Suffering,Euthanasia,5,2014
394,2 months,A684609,Cat,,domestic shorthair,white,blue,2014-05-26 00:00:00,,Adoption,7,2014
395,2 months,A689905,Cat,*Benny,domestic shorthair,black,,2014-08-27 00:00:00,,Adoption,11,2014
396,6 years,A671476,Cat,Smokey,russian blue,blue,,2008-01-25 00:00:00,Partner,Transfer,2,2014
397,4 months,A673606,Cat,Gracie,domestic shorthair,blue,,2013-12-22 00:00:00,,Adoption,5,2014
398,2 months,A678783,Cat,Ethel,domestic shorthair,black,,2014-03-28 00:00:00,,Adoption,6,2014
399,4 months,A669227,Cat,,domestic shorthair,brown ,white,2013-08-17 00:00:00,SCRP,Transfer,12,2013
400,5 months,A677087,Cat,*Marco,domestic shorthair,orange ,white,2014-04-07 00:00:00,,Adoption,9,2014
401,2 weeks,A674636,Cat,,domestic shorthair,brown,,2014-03-01 00:00:00,Partner,Transfer,3,2014
402,2 years,A679010,Cat,Chrissy,angora,white,,2012-05-15 00:00:00,Partner,Transfer,5,2014
403,1 month,A678670,Cat,Chiquita,domestic shorthair,brown,,2014-05-21 00:00:00,,Adoption,7,2014
404,1 year,A668896,Cat,Sofie,domestic shorthair,black,white,2012-07-11 00:00:00,,Return to Owner,12,2013
405,2 months,A685063,Cat,,domestic shorthair,orange ,white,2014-06-04 00:00:00,,Adoption,8,2014
406,3 weeks,A687726,Cat,,domestic shorthair,blue,white,2014-08-18 00:00:00,Partner,Transfer,9,2014
407,8 months,A683471,Cat,Frida,domestic shorthair,black,white,2013-11-10 00:00:00,,Adoption,7,2014
408,2 months,A681904,Cat,Izzy,domestic mediumhair,black,white,2014-04-21 00:00:00,,Adoption,6,2014
409,3 weeks,A678741,Cat,,domestic shorthair,brown ,white,2014-04-18 00:00:00,Partner,Transfer,5,2014
410,4 years,A675725,Cat,Rosie,domestic shorthair,Breed Specific,blue cream,2010-04-18 00:00:00,Foster,Adoption,4,2014
411,2 months,A682797,Cat,*Starburst,domestic shorthair,orange,,2014-05-03 00:00:00,Partner,Transfer,7,2014
412,3 days,A671469,Cat,,domestic shorthair,blue cream,,2014-01-22 00:00:00,Medical,Euthanasia,1,2014
413,9 years,A341599,Cat,Reece,domestic shorthair,black,,2004-01-18 00:00:00,Partner,Transfer,1,2014
414,3 days,A676021,Cat,,domestic shorthair,black,,2014-03-31 00:00:00,Partner,Transfer,4,2014
415,2 months,A663723,Cat,Tornado,domestic shorthair,brown,,2013-07-16 00:00:00,Partner,Transfer,10,2013
416,1 month,A680556,Cat,,domestic shorthair,blue,,2014-04-12 00:00:00,,Adoption,6,2014
417,6 years,A681307,Cat,*Scarlet,domestic shorthair,brown ,white,2008-06-14 00:00:00,,Adoption,7,2014
418,1 year,A683215,Cat,X,domestic shorthair,brown,,2013-07-08 00:00:00,Partner,Transfer,7,2014
419,1 year,A675140,Cat,Garden,domestic shorthair,brown,,2013-03-25 00:00:00,,Return to Owner,3,2014
420,4 months,A687651,Cat,,domestic shorthair,black,white,2014-05-08 00:00:00,SCRP,Transfer,9,2014
421,7 years,A665741,Cat,Leia,domestic shorthair,brown,,2006-10-22 00:00:00,Partner,Transfer,10,2013
422,1 month,A662906,Cat,Stanley,domestic shorthair,blue,,2013-08-10 00:00:00,Offsite,Adoption,10,2013
423,8 months,A691120,Cat,,domestic shorthair,black,white,2014-03-02 00:00:00,Suffering,Euthanasia,11,2014
424,3 months,A686520,Cat,,domestic shorthair,brown,,2014-05-23 00:00:00,SCRP,Transfer,8,2014
425,3 days,A664549,Cat,,manx,Breed Specific,,2013-10-02 00:00:00,Partner,Transfer,10,2013
426,9 months,A676170,Cat,Chuy,domestic shorthair,orange,,2013-07-05 00:00:00,Partner,Transfer,4,2014
427,2 weeks,A679244,Cat,,domestic shorthair,black,,2014-05-02 00:00:00,Partner,Transfer,5,2014
428,2 years,A678460,Cat,,domestic shorthair,orange,,2012-05-09 00:00:00,SCRP,Transfer,5,2014
429,5 months,A693742,Cat,,domestic shorthair,blue,,2014-07-13 00:00:00,SCRP,Transfer,12,2014
430,2 months,A666785,Cat,*Willow,domestic shorthair,orange,,2013-09-30 00:00:00,Foster,Adoption,12,2013
431,4 years,A560060,Cat,Gary,domestic shorthair,brown,,2009-08-06 00:00:00,,Adoption,2,2014
432,4 months,A680766,Cat,Isla,domestic shorthair,brown,,2014-04-22 00:00:00,,Adoption,9,2014
433,4 weeks,A679920,Cat,,domestic shorthair,brown,,2014-04-28 00:00:00,Partner,Transfer,5,2014
434,13 years,A692419,Cat,Sugar,himalayan,lynx,,2001-07-01 00:00:00,Foster,Adoption,12,2014
435,2 months,A679937,Cat,Mia,domestic shorthair,black,white,2014-03-28 00:00:00,,Adoption,6,2014
436,1 year,A672912,Cat,,domestic shorthair,cream,,2013-02-18 00:00:00,,Died,2,2014
437,2 months,A688756,Cat,,domestic shorthair,white,blue,2014-07-08 00:00:00,,Adoption,9,2014
438,2 weeks,A677940,Cat,,domestic shorthair,Breed Specific,,2014-04-16 00:00:00,Partner,Transfer,5,2014
439,7 months,A671308,Cat,Siegfried,domestic shorthair,black ,white,2013-08-22 00:00:00,,Adoption,3,2014
440,2 months,A687999,Cat,,siamese,seal,,2014-07-13 00:00:00,,Adoption,9,2014
441,2 weeks,A685449,Cat,,domestic shorthair,brown,,2014-07-23 00:00:00,Partner,Transfer,8,2014
442,1 year,A680185,Cat,Lestat,domestic shorthair,brown,,2013-05-30 00:00:00,,Adoption,6,2014
443,1 year,A670135,Cat,*Mason,domestic shorthair,brown ,white,2012-07-02 00:00:00,Partner,Transfer,1,2014
444,2 months,A679429,Cat,*Goose,domestic shorthair,cream,,2014-04-14 00:00:00,,Adoption,6,2014
445,7 months,A678763,Cat,Snowflake,siamese,lynx,,2013-09-12 00:00:00,,Return to Owner,5,2014
446,1 weeks,A683744,Cat,,domestic shorthair,orange,,2014-07-13 00:00:00,Partner,Transfer,7,2014
447,1 year,A662736,Cat,,domestic mediumhair,black,white,2012-09-08 00:00:00,SCRP,Transfer,4,2014
448,5 years,A664601,Cat,,domestic shorthair,orange ,white,2008-10-05 00:00:00,SCRP,Transfer,10,2013
449,3 weeks,A690246,Cat,,domestic shorthair,orange,,2014-09-24 00:00:00,Partner,Transfer,10,2014
450,4 months,A683356,Cat,,domestic shorthair,blue,,2014-03-09 00:00:00,SCRP,Transfer,7,2014
451,2 weeks,A685164,Cat,*Birch,domestic shorthair,white,black,2014-07-27 00:00:00,Partner,Transfer,8,2014
452,2 months,A692153,Cat,*Joannie,domestic shorthair,Breed Specific,,2014-09-01 00:00:00,Partner,Transfer,11,2014
453,1 year,A678244,Cat,,domestic shorthair,black,white,2013-05-06 00:00:00,SCRP,Transfer,5,2014
